Y a lo mejor un puente;Santiago Gil;Lejos;Tentación de náufrago
Ninguna habitación se cierra para siempre;Santiago Gil;La casa Grande;
Te quiebras te disuelves te diluyes;Emeterio Gutiérrez Albelo;Soneto VII;
En el islote astral del espejismo;Emeterio Gutiérrez Albelo;Soneto IX;
Que ordena este sinfónico latido;Emeterio Gutiérrez Albelo;La verde sinfonía;
A través del cristal que te detiene;Felipe Baeza Betancort;Wentworth Place;
Se desnuda de brisa en los mariscos;Felipe Baeza Betancort;Soledad en la playa;
La queja ronca del orégano;Ángel Sánchez;Cresta sónica (III);
Un leve alud pudiera perturbar su calma;Ángel Sánchez;Vesperal;
Sus mentes al servicio de todo lo malvado;María Padrón;Pero son más los hombres;
Le transmite a mis manos su ser;María Padrón;El mar en el mundo;
Reviven al contacto con la espuma;Mª Begoña García Hernández;;Savia Nueva
Y la esperanza se entierra;Mª Begoña García Hernández;;Savia Nueva
Dormía acunada por la brisa;Mª Begoña García Hernández;;Savia Nueva
Te coronan amantes las gaviotas;Mª Begoña García Hernández;;Savia Nueva
